,,,,
Sep-11,Jupiter (90),Neptune (60),Uranus (50),Observatory (40)
9:00,DSTC11,CSOA,PracticalD2T,YRRSDS
10:30,coffee break,,,
11:00,DSTC11,CSOA,PracticalD2T,YRRSDS
13:00,lunch,,,
14:00,DSTC11,CSOA (7 posters),PracticalD2T,YRRSDS
15:30,coffee break,,,
16:00,DSTC11 (9-11 posters),CSOA,PracticalD2T (posters?),YRRSDS
18:00,end,,,
,,,,
,,,,
,,,,
Sep-12,Jupiter (90),Neptune (60),Uranus (50),Observatory (40)
9:00,MMNLG,TamingLLM,MultiAIAutism,YRRSDS
10:30,coffee break,,,
11:00,MMNLG,TamingLLM,MultiAIAutism,YRRSDS
13:00,lunch,,,
14:00,MMNLG,TamingLLM,TasksSDSData (?),YRRSDS
15:30,coffee break,,,
16:00,MMNLG,TamingLLM,TasksSDSData (?),YRRSDS
18:00,end,,,
,,,,
,,,,
,,,,
Sep-13,Sun I,Sun II,Foyer,
9:00,opening,,,
9:15,Keynote Dupoux,,,
10:15,coffee break,,,
10:45,Sigdial Talks (5),INLG long paper talks 1-4 (25min/talk),,
12:30,lunch,,,
13:30,,INLG long paper talks 5-8 ,Sigdial Posters ,
15:10,coffee break,,,
15:40,Sigdial Talks (4),,INLG Poster session 1-16+flash,
17:00,Keynote Lowe,,,
18:00,panel,,,
18:45,end,,,
19:00,Welcome reception,,,
20:00,end,,,
,,,,
,,,,
Sep-14,Sun I,Sun II,Foyer,
9:00,Sigdial Talks (5),INLG long paper talks 9-12,,
10:40,coffee break,,,
11:10,Keynote di Eugenio,,,
12:10,Sponsors,,Birds-of-Feather,
12:40,lunch,,,
13:40,,INLG long paper talks 13-16 ,Sigdial Posters,
15:20,coffee break,,,
15:50,Sigdial Talks (5),INLG genChal presentation,GenChal Posters + demos,
18:00,end,,,
19:00,Conference dinner (Strahov monastery),,,
23:00,end,,,
,,,,
,,,,
Sep-15,Sun I,Sun II,Foyer,
9:00,virtual posters (online -- Discord),,,
10:00,Keynote Simperl,,,
11:00,coffee break,,,
11:30,Sigdial Talks (5),INLG long paper talks 17-20,,
13:10,lunch,,,
14:10,business meeting and closing,,,
15:30,coffee break,,,
16:00,end,,,
